npa,country_code,country_name,state_province_code,state_province_name,region,created_at,updated_at,notes,is_active
659,US,United States,AL,Alabama,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
660,US,United States,MO,Missouri,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
661,US,United States,CA,California,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
662,US,United States,MS,Mississippi,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
664,MS,Montserrat,MS,Montserrat,Caribbean,2025-07-12 13:48:49.254+00,2025-07-25 02:09:30.256935+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
667,US,United States,MD,Maryland,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
669,US,United States,CA,California,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
670,US,United States,NN,Northern Mariana Islands,Pacific,2025-07-12 13:48:49.254+00,2025-07-25 02:10:14.108745+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z - Updated to Pacific category via admin fix,true
671,US,United States,GU,Guam,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z - Updated to Pacific category via admin fix,true
672,CA,Canada,BC,British Columbia,CA,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
678,US,United States,GA,Georgia,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
680,US,United States,NY,New York,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
681,US,United States,WV,West Virginia,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
682,US,United States,TX,Texas,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
683,CA,Canada,ON,Ontario,CA,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
684,US,United States,AS,American Samoa,Pacific,2025-07-12 13:48:49.254+00,2025-07-25 02:09:55.689302+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z - Updated to Pacific category via admin fix,true
686,US,United States,VA,Virginia,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
689,US,United States,FL,Florida,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
701,US,United States,ND,North Dakota,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
702,US,United States,NV,Nevada,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
703,US,United States,VA,Virginia,US,2025-07-12 13:48:49.254+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.254Z,true
